id,prod_id,product_name,unit,quantity,rate,tax_rate,total,description,discount_rate,discount_amount,sequence,tax_amount,unique_key_fk_purchase,unique_key_fk_product,unique_key_list_item,local_purchase_id,org_Id,purchase_product_code,taxable_flag,tax_list,unique_key_fk_return_purchase,unique_key_return_purchase_list_item
88,0,fan,,1,100,0,100,,0,0,0,0,Purchase@1732478048413b803abd3dywv7g23w,Product@17324781840879b2c64263hdopz6en,PurchaseItem@17324781842129f65f858uucsc7wrc,0,61545,,0,[],,
89,0,128 Gb Nvme Single Cut,,1,900,0,900,,0,0,0,0,Purchase@1732478197078a96d8f746muzmh9s3,56de6bdb8d73b1011725288142122,PurchaseItem@1732478292867a366f5e5d1ovaj2yd,0,61545,,0,[],,
90,0,Crucial 500 Gb Nvme,,1,2950,0,2950,,0,0,0,0,Purchase@1732478197078a96d8f746muzmh9s3,Product@1732478348553883dac98ezfy43o4v,PurchaseItem@1732478348690b52d894dimp4h7ex5,0,61545,,0,[],,
91,0,Charger 18.5v,,1,320,0,320,Techie,0,0,0,0,Purchase@1732478197078a96d8f746muzmh9s3,Product@1729054150400b9431134sopc83ixh,PurchaseItem@1732478363374b52279c5uqpzj065v,0,61545,65w,0,[],,
92,0,Laptop board repair,,1,800,0,800,,0,0,0,0,Purchase@173247839118580684142n3xkah2t5,56de6bdb8d73b1011723043340793,PurchaseItem@173247842994591f8a0bbofp4ou2wl,0,61545,,0,[],,
93,0,CAT6 LAN 60MTRS,,1,1200,0,1200,,0,0,0,0,Purchase@1734028495720a4221984t0qyv24ep,Product@1734028572563a1aa4f55yva7uc2gr,PurchaseItem@17340285726348180f63217x2lt211,0,61545,,0,[],,
94,0,RJ-45,,30,5,0,150,,0,0,0,0,Purchase@1734028495720a4221984t0qyv24ep,Product@17340286024698cd278bc4bke6rdic,PurchaseItem@17340286025599b0ac66cghfkzthz4,0,61545,,0,[],,
95,0,LAN tester(with cell),,1,170,0,170,,0,0,0,0,Purchase@1734028495720a4221984t0qyv24ep,Product@17340286342979f5f8d97v33zspk9w,PurchaseItem@1734028634397a7629a83ri5u1zwj1,0,61545,,0,[],,
96,0,Crimping tool,,1,320,0,320,,0,0,0,0,Purchase@1734028495720a4221984t0qyv24ep,Product@1734028656863bc5a383d66kn89y2b,PurchaseItem@1734028656950951f9a98f076i05qq,0,61545,,0,[],,
97,0,8 port Swith,,1,650,0,650,,0,0,0,0,Purchase@1734028495720a4221984t0qyv24ep,Product@17340286753868def958cc3icpcta3,PurchaseItem@173402867550395f6e3cdeiv5cjnkb,0,61545,,0,[],,
